x,y,gid,Name,description
"-46,5173855","-23,5978047",47,Coleta de Pilhas - Walmart Sapopemba,"R. Benedito Jacinto Mendes, 77 - Jardim Grimaldi. Horário Comercial."
"-46,6930499","-23,6546937",48,Coleta de Pilhas - Walmart Washington Luís,"Av. Washington Luís, 1415 - Santo Amaro. Horário Comercial."
"-46,6069509","-23,5137361",49,Coleta de Pilhas - Walmart Vila Guilherme,"Av. Joaquina Ramalho, 340 - Vila Guilherme. Horário Comercial."
"-46,7304815","-23,5369874",50,Coleta de Pilhas - Walmart Vila Leopoldina,"Av. Dr. Gastão Vidigal, 2345 - Vila Leopoldina Horário Comercial."
"-46,7235979","-23,5864154",51,Coleta de Pilhas - Walmart Morumbi,"Av. Prof. Francisco Morato, 2585 - Vila Progredir. Horário Comercial."
"-46,6446522","-23,6292353",52,Coleta de Pilhas - Walmart Indianopolis,"Av. Jabaquara, 2979 - Mirandópolis. Horário Comercial."
"-46,5856465","-23,5936152",53,Coleta de Pilhas - Walmart Central Plaza,"Av. Dr. Francisco Mesquita, 1000 - Jardim Ibitirama. Horário Comercial."
"-46,507836","-23,564303",54,Coleta de Pilhas - Walmart Aricanduva,"Avenida Aricanduva, 5555 - Aricanduva. Horário Comercial."
"-46,6494131","-23,5234033",55,Coleta de Pilhas - Walmart Bom Retiro,"Av. Rudge, 500 - Bom Retiro. Horário Comercial."
"-46,6576349","-23,5218523",56,Coleta de Pilhas - Walmart São Paulo ,"Rua James Holland, 668 - Barra Funda. Horário Comercial."
"-46,833529","-23,5916746",57,Coleta de Pilhas - Walmart Raposo Tavares,"Rodovia Raposo Tavares, 23033 - Lageadinho, Cotia. Horário Comercial."
"-46,6497352","-23,5316312",58,Coleta de Pilhas - Walmart Barão de Limeira,"Alameda Barão de Limeira, 1180 - Campos Elísios. Horário Comercial."
"-46,5856465","-23,5936152",59,Coleta de Pilhas - Walmart Central Plaza,"Av. Dr. Francisco Mesquita, 1000 - Jardim Ibitirama. Horário Comercial."
"-46,4498863","-23,4938549",60,Coleta de Pilhas - Sérgio Massagi Ikenaga,"Av. São Miguel, 9200 - Vila Norma. Horário Comercial."
"-46,6375625","-23,6081279",61,Coleta de Pilhas -Philips Still Vox Eletrônica,"Av. Jabaquara, 467 - Mirandópolis Horário Comercial."
"-46,6497352","-23,5316312",62,Coleta de Pilhas - Philips Still Vox ,"Alameda Barão de Limeira, 1180 - Campos Elísios. Horário Comercial."
"-46,6716916","-23,5224525",63,Coleta de Pilhas - Sitel do Brasil,"Rua Achilles Orlando Curtolo, 300.  Horário Comercial."
"-46,7091797","-23,4677602",64,Coleta de Pilhas - Philips Ruza - Ass Técnica,Av. Elísio Teixeira Leite.  Horário Comercial.
"-46,6835047","-23,5391578",65,Coleta de Pilhas - Rovel Eletrica,"Av. Prof. Alfonso Bovero, 776 - Perdizes. Horário Comercial."
"-46,542817","-23,5231042",66,Coleta de Pilhas - Penhatec Service,"Av. Amador Bueno da Veiga, 192 - Penha de Franca. Horário Comercial."
"-46,5552208","-23,5481026",67,Coleta de Pilhas - Partner Comercio e Assis. Técnica,"R. Antônio de Barros, 2052 - Vila Carrao. Horário Comercial."
"-46,622425","-23,5270909",68,Coleta de Pilhas - Luiz Carlos de Souza Junior,Rua Canindé - Canindé.  Horário Comercial.
"-46,673417","-23,5955424",69,Coleta de Pilhas - J.R.S.P Service Solution Electronica ,"Av. Santo Amaro, 1298 - Vila Nova Conceição. Horário Comercial."
"-46,6468897","-23,5663325",70,Coleta de Pilhas - Extra Brigadeiro,"Av. Brigadeiro Luís Antônio, 2013 - Bela Vista. Horário comercial."
"-46,726905","-23,518449",71,Coleta de Pilhas - Extra Anhaguera,"R. Samuel Klabin, 193 - Vila Bela Alianca. Horário Comercial."
