x,y,gid,Name,description
-46.6348064,-23.5931411,51,Ecoponto - Vila Mariana,"Rua Mauricio Francisco Klabin, nº37. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6228706,-23.5941304,52,Ecoponto - Saioa,"Rua Mary Baida Salem, nº01, alça de acesso do Viaduto Saioá em direção a avenida Ricardo Jafet. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6031885,-23.5474351,53,Ecoponto - Moóca ,"Av. Pires do Rio X Rua Bresser (Baixo Viaduto Bresser). Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.633594,-23.5566211,54,Ecoponto - Glicério,"Baixos do Viaduto Glicério. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6370597,-23.556555,55,Ecoponto - Liberdade,"Rua Jaceguai, Nº 67 x Av. Liberdade. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6277978,-23.5213637,56,Ecoponto - Armênia ,"Rua General Carmona, s/nº. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6481745,-23.5274578,57,Ecoponto - Barra Funda ,"Rua Sólon (Baixos Viaduto Eng.º Orlando Murgel. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6111869,-23.5645477,58,Ecoponto - Cambuci ,"Av. do Estado x Av. D. Pedro I x Rua Ibiruba. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.656027,-23.4917169,59,Ecoponto - Parque Peruche,"Av. Engº Caetano Álvares, nº 3142. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6698226,-23.4722745,60,Ecoponto - Vila Nova Cachoeirinha,"Rua Felix Alves Pereira, nº 113. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6546222,-23.5142329,61,Ecoponto - Casa Verde,"Rua Zanzibar, nº 125. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.7220131,-23.492104,62,Ecoponto - Cônego José Salomon,"Rua Cônego José Salomon, n° 861 — Vila Bonilha. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6004045,-23.5171655,63,Ecoponto - Vila Guilherme,"Rua José Bernardo Pinto, nº 1480 — Vila Guilherme. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.5655491,-23.4862764,64,Ecoponto - Vila Sabrina,"Av. dos Poetas, 931. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.5834421,-23.5175271,65,Ecoponto - Vila Maria,"Rua Curuçá, 1.700. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.5522856,-23.531186,66,Ecoponto - Vila Luísa,"Rua Recife x Rua Alfredo de Franco — Baixos Viad. Eng. Alberto Badra. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6099557,-23.4672954,67,Ecoponto - Tucuruvi,"Rua Eduardo Vicente Nasser, 519. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6749001,-23.4698401,68,Ecoponto - Vila Rica,"Rua Jorge Mamede da Silva, defronte ao nº201. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6219264,-23.5113316,69,Ecoponto - Santana,"Av. Zaki Narchi, Altura do nº 360 ao lado da AACD. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.7468329,-23.5956082,70,Ecoponto - Jardim Maria do Carmo,"Rua Caminho do Engenho, nº 800. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6949844,-23.4861608,71,Ecoponto - Bandeirantes,"Bandeirantes — Rua Itaiquara, nº 237 — Trav. Av. Itaberaba. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6712415,-23.5248707,72,Ecoponto - Viad. Antártica ,"Av. Antártica x Rua Gustav Willi Borghoff (Baixo Viad. Antártica). Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.750659,-23.4091525,73,Ecoponto - Recanto dos Humildes,"Rua Sales Gomes, nº 415 — Recanto dos Humildes. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.691452,-23.5974167,74,Ecoponto - Pinheiros,"Pça. do Cancioneiro, nº 15 (Baixos da Pte. Eng° Ary Torres). Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6873448,-23.5581744,75,Ecoponto - Vila Madalena,"Rua Girassol, nº 15 Esquina Rua Luís Murat. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.7183304,-23.4775038,76,Ecoponto - Vigário Godói,"Rua Vigário Godói, n° 480 — Vila Zatt. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.7402709,-23.4449247,77,Ecoponto - Voith,"Rua Friedrich Von Voith x Av. Atílio Brugnoli, em frente ao nº 89. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.7491704,-23.4534928,78,Ecoponto - Alexios Jafet,"Rua Alexios Jafet ,ao lado do nº 150. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.7527646,-23.5891136,79,Ecoponto - Jardim Jaqueline,"Rua Walter Brito Belleti. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6053516,-23.6239235,80,Ecoponto - Vila das Mercês,"Rua Italva 86. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.7266265,-23.6096984,81,Ecoponto - Giovani Gronchi,"Av. Giovani Gronchi, 3413 x Rua José Dias da Costa. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6109267,-23.5544648,82,Ecoponto - Brás,"Rua Palmorino Mônaco x Rua da Moóca (Baixo Viad. Prof. Alberto Mesquita de Carvalho). Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6060176,-23.5435317,83,Ecoponto - Bresser,"Pça. Giuseppe Cesari, n° 54 (Baixos do Viad. Bresser). Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.7419794,-23.516499,84,Ecoponto - Vila Jaguara,"Rua Agrestina X Av. Marginal Direita do Tietê. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.71056,-23.5570008,85,Ecoponto- Alto de Pinheiros,"Praça Arcipreste Anselmo de Oliveira. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.7652181,-23.5758147,86,Ecoponto - Politécnica,"Praça Nilton Vieira de Almeida. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.7920415,-23.4318315,87,Ecoponto - Jardim Santa Fé,"Rua Salvador Albano X Rua Virginia Castiglione. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.5805337,-23.5442423,88,Ecoponto - Agua Rasa,"Av. Salim Farah Maluf, próx. nº 1.500  Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.7054021,-23.5035839,89,Ecoponto - Freguesia do Ó,"Rua Souza Filho s/nº.      Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.6716519,-23.4939748,90,Ecoponto - Vila Santa Maria,"Rua André Bolsena X Travessa Luiz Sá. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
-46.7362042,-23.669833,91,Ecoponto - Piraporinha,"Rua João de Abreu 326, M'Boi Mirim. Horários de funcionamento: seg - sáb das 06:00 às 22:00; dom das 06:00 às 18:00. Materiais recicláveis: metal, papel, plástico e vidro. Entulho: até 1m³. Mais informações: 0800-7777 156 (ligação gratuita)."
