x,y,gid,Name,description
"-46,75027","-23,513525",94,PEV - Parque Vila dos Remédios,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Carlos Alberto Vanzolini, 413 - Vila Jaguara."
"-46,732137","-23,480865",95,PEV - Polícia Militar do Estado de São Paulo,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Dr. Felipe Pinel, 1000 - Pirituba."
"-46,659706","-23,49395",96,PEV - Auto Posto Caetano Alvares,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Eng. Caetano Álvares, 2665 - Casa Verde."
"-46,636259","-23,53929",97,PEV - Praça Alfredo Issa,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Alfredo Issa - Santa Ifigênia."
"-46,655686","-23,476897",98,PEV - Praça Antônia Maturano Lago,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Antônia Maturano Lago - Vila Roque."
"-46,655681","-23,560835",99,PEV - Praça Arquiteto Rodrigo Lefévre,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Arquiteto Rodrigo Lefévre - Bela Vista."
"-46,720457","-23,496452",100,PEV - Praça Chaquib Fandi Kalil,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Chaquib Fandi Kalil - Jardim Ricardo."
"-46,665434","-23,544825",101,PEV - Praça Charles Miler,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Charles Miler - Pacaembu."
"-46,677122","-23,527719",102,PEV - Praça Conde Francisco Matarazzo Júnior,"Materiais recicláveis: metal, papel, plástico e vidro. R. Padre Antônio Tomás - Água Branca."
"-46,585534","-23,452332",103,PEV - Praça da Ocupação,"Materiais recicláveis: metal, papel, plástico e vidro. Praça da Ocupação - Jardim Joamar."
"-46,642562","-23,543136",104,PEV - Praça da República,"Materiais recicláveis: metal, papel, plástico e vidro. Praça da República - Campos Elíseos."
"-46,633511","-23,551472",105,PEV - Rua Onze de Agosto,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Onze de Agosto - Sé."
"-46,657387","-23,508892",106,PEV - Praça do Centenário,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Baroré, 131 - Casa Verde."
"-46,758006","-23,410481",107,PEV - Praça do Samba,"Materiais recicláveis: metal, papel, plástico e vidro. R. Mogeiro, 145 - Vila Perus."
"-46,6460579","-23,5601941",108,PEV - Praça Dom Orione,"Materiais recicláveis: metal, papel, plástico e vidro.  Praça Dom Orione - Bela Vista."
"-46,6498917","-23,5193853",109,PEV - Praça da Embaixada Nordestina,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Neves de Carvalho, 780 - Bom Retiro."
"-46,6723573","-23,5036047",110,PEV - Praça Professor Francisco D'Auria,"Materiais recicláveis: metal, papel, plástico e vidro.  Av. Dep. Emílio Carlos, 86 - Limão"
"-46,6470976","-23,5476509",111,PEV - Praça Franklin Roosevelt,"Materiais recicláveis: metal, papel, plástico e vidro. Praça Franklin Roosevelt, S/N; Rua Da Consolação Alt. Nº 600 - Consolação."
"-46,7492627","-23,546808",112,PEV - Praça General Pôrto Carreiro,"Materiais recicláveis: metal, papel, plástico e vidro.  Rua Pamamirim X Barcelona.<br>Praça Gen. Pôrto Carreiro - Jaguaré."
"-46,6884713","-23,5514921",113,PEV - Praça Haroldo Valadão,"Materiais recicláveis: metal, papel, plástico e vidro.  Rua Filinto de Almeida - Pinheiros (Vila Madalena)."
"-46,6840981","-23,5505985",114,PEV - Praça Horácio Sabino,"Materiais recicláveis: metal, papel, plástico e vidro.   Rua Penalva - Pinheiros."
